 ,Area(zone b),Mean(zone b),Min(zone b),Max(zone b)
1,247599,62334.398,0,65535
2,247599,23391.822,0,65535
3,247599,23177.750,0,65535
4,247599,23343.965,0,65535
5,247599,23197.920,0,65535
6,247599,23451.270,0,65535
7,247599,23206.367,0,65535
8,247599,23172.271,0,65535
9,247599,23452.891,0,65535
10,247599,23193.326,0,65535
11,247599,31222.020,1277,63859
12,247599,30874.760,2128,62156
13,247599,31057.598,5534,61305
14,247599,31033.793,4683,57047
15,247599,30787.234,425,60453
16,247599,30976.209,5960,58750
17,247599,30668.809,5534,65535
18,247599,31032.549,2980,57899
19,247599,30807.895,3831,56622
20,247599,31004.207,5960,61305
21,247599,30991.922,5960,59602
22,247599,26454.426,0,65535
23,247599,23239.365,0,65535
24,247599,23184.789,0,65535
25,247599,23389.232,0,65535
26,247599,23239.127,0,65535
27,247599,23420.238,0,65535
28,247599,23372.762,0,65535
29,247599,23081.645,0,65535
30,247599,23373.012,0,65535
31,247599,23235.623,0,65535
32,247599,23370.391,0,65535
33,247599,23266.318,0,65535
34,247599,30988.656,3831,58750
35,247599,31027.943,2128,55345
36,247599,30734.863,0,65136
37,247599,30968.490,2980,54919
38,247599,30713.006,0,65136
39,247599,30901.398,6385,57473
40,247599,30721.801,1702,65535
41,247599,30577.205,0,63859
42,247599,30887.705,5534,54493
43,247599,30688.553,4683,65535
44,247599,31000.812,5534,60879
45,247599,26484.520,0,65535
46,247599,23270.557,0,65535
47,247599,23178.404,0,65535
48,247599,23047.500,0,65535
49,247599,23362.172,0,65535
50,247599,23152.443,0,65535
51,247599,23411.168,0,65535
52,247599,23252.031,0,65535
53,247599,23378.207,0,65535
54,247599,23358.387,0,65535
55,247599,23267.756,0,65535
56,247599,23583.717,0,65535
57,247599,31065.324,4257,63008
58,247599,31130.363,6811,61731
59,247599,30898.412,851,62156
60,247599,31142.061,4683,55770
61,247599,30973.180,6385,63859
62,247599,30789.488,2128,58750
63,247599,30970.535,1702,60028
64,247599,30818.680,4257,65535
65,247599,30957.006,4683,60879
66,247599,30812.234,4257,60028
67,247599,30914.441,6385,59176
68,247599,26381.789,0,65535
69,247599,23076.957,0,65535
70,247599,23303.160,0,65535
71,247599,23100.684,0,65535
72,247599,23381.039,0,65535
73,247599,23216.826,0,65535
74,247599,23175.490,0,65535
75,247599,23418.031,0,65535
76,247599,23109.457,0,65535
77,247599,23398.018,0,65535
78,247599,23225.805,0,65535
79,247599,23806.293,0,65535
80,247599,31152.258,3405,62582
81,247599,30895.600,5108,55345
82,247599,31142.898,5108,61731
83,247599,30867.102,4683,63433
84,247599,31039.064,6385,61305
85,247599,30846.066,0,54067
86,247599,30996.496,3831,58750
87,247599,30722.826,3831,59602
88,247599,30690.547,4257,63008
89,247599,30950.795,3831,65535
90,247599,30691.271,3831,58325
91,247599,26388.238,0,65535
92,247599,23109.965,0,65535
93,247599,23288.141,0,65535
94,247599,23221.578,0,65535
95,247599,22998.477,0,65535
